PG11	-12449.43074	-21928.84479	-8369.290956	-99.932322	9	10	7	106
PG12	-20475.61209	5438.796035	15669.80095	-166.221147	6	6	6	87
PG13	-21354.74779	-13394.78687	-8773.603626	256.480215	6	6	8	81
PG14	10627.63462	-22058.89942	10201.41386	-79.938878	7	5	7	66
PG15	-26409.22193	-3539.560246	-2600.803402	-86.290911	9	6	8	126
PG16	11114.91206	10289.01363	-22089.37216	-465.23758	7	9	6	115
PG17	3780.478951	-14507.2945	22362.56133	570.819436	7	6	7	77
PG18	-8334.381542	16444.04804	-19083.95638	246.892073	5	6	8	102
PG19	-5459.614008	-15910.85492	20341.79778	114.697993	8	8	8	86
PG20	-7811.306871	-15385.87873	-20255.88431	516.837332	8	6	6	118
PG21	18043.80222	10350.51427	17537.749	157.462832	9	10	9	96
PG22	8817.552721	16433.31645	19378.14505	208.798499	7	7	7	112
PG23	-16720.2601	20571.26163	-47.26598	4.345955	6	7	7	108
PG24	-17591.07127	-4800.619381	19150.20833	275.8701	7	6	6	66
PG25	-19615.6444	16498.76664	6091.453354	280.944109	6	4	5	76
PG26	1271.459842	19654.22906	-17756.84045	180.46903	7	9	6	125
PG27	20043.29811	12514.2658	-12708.58468	104.558928	9	7	9	126
PG28	4026.236748	-20346.17793	17241.98526	407.358238	6	6	6	95
PG29	-20926.56611	5212.834372	-15586.39709	-476.185025	7	7	7	76
PG30	2430.883054	-22923.84465	-12905.02071	-511.373865	8	5	6	95
PG31	6019.783026	25412.14499	3027.289501	-163.238797	7	6	9	108
PG32	1645.304158	15665.47001	21533.65376	-62.110566	6	4	5	99
*	2022	2	5	0	45	0		
PG01	16124.86162	3245.120965	20657.39271	439.539257	7	8	5	72
PG02	-14953.69307	-21119.02755	-5015.554011	-650.244396	7	6	7	109
PG03	19517.75739	-7742.084301	16099.03146	-107.212255	6	6	6	63
PG04	26022.51984	119.96463	-5526.332076	-191.404664	8	8	8	101
PG05	-13110.11775	-7961.647354	-21847.75627	-70.3275	7	6	5	68
PG06	-4298.588924	-24744.74555	8597.514278	191.607241	6	3	7	98
PG07	9628.305376	-13902.17196	-19979.58038	307.815583	7	4	4	82
PG08	25404.34938	6337.824873	-5483.699973	-54.900643	9	11	12	117
PG09	20138.85773	-8697.01018	-15068.27266	-355.484849	7	8	2	78
PG10	-10016.94916	23005.59486	8380.850425	-311.757387	5	8	5	87
PG11	-12471.71162	-22765.56988	-5665.418931	-99.920084	8	9	7	100
PG12	-19270.16912	3900.323788	17528.29585	-166.226256	6	6	6	92
PG13	-20222.36175	-13262.33197	-11317.83386	256.485968	6	6	7	96
PG14	11492.01879	-22662.21379	7608.745508	-79.943111	6	5	8	87
PG15	-25993.38912	-3835.448499	-5328.103235	-86.288196	9	6	8	120
PG16	9389.000683	12044.97279	-21960.16378	-465.242025	8	9	6	112
PG17	6170.181001	-13978.82902	22166.67642	570.824108	6	5	7	77
PG18	-9207.912299	14362.42441	-20331.10142	246.884994	3	6	7	103
PG19	-3101.23238	-15348.73463	21223.3681	114.702562	8	8	7	82
PG20	-6591.475679	-17284.07157	-19150.43996	516.837374	8	6	6	113
PG21	18704.92142	11992.49821	15678.47676	157.463376	8	9	9	97
PG22	6654.37417	16008.65922	20568.59174	208.803522	6	6	6	103
PG23	-16812.52415	20289.89604	-2915.034094	4.342632	6	7	7	95
PG24	-18395.02299	-6815.618755	17792.44164	275.868919	6	6	6	65
PG25	-19275.55654	15629.8832	8781.939744	280.948984	5	4	4	56
PG26	-30.010984	21102.82042	-16021.03736	180.47199	7	8	6	112
PG27	18503.1682	12422.10456	-14936.3418	104.574965	9	8	9	122
PG28	5347.856563	-21524.06982	15302.19196	407.351161	6	5	6	93
PG29	-22498.63593	4705.236285	-13403.46762	-476.189215	7	7	7	69
PG30	3238.045112	-21490.63766	-15031.26495	-511.376047	8	5	5	84
PG31	5554.092439	25018.83605	5837.418861	-163.240466	8	6	8	92
PG32	-783.792388	15329.78029	21806.89263	-62.116487	6	4	4	100
*	2022	2	5	1	0	0		
PG01	17031.09423	5401.426815	19491.22945	439.530603	6	8	4	68
PG02	-14969.78841	-21669.42906	-2183.47907	-650.245037	7	6	7	101
PG03	18512.48424	-6047.446611	17908.73577	-107.227154	5	5	6	67
PG04	26461.30738	417.900426	-2725.774426	-191.402754	8	8	7	81
PG05	-11769.96766	-10025.31479	-21747.1902	-70.328334	7	6	4	66
PG06	-3675.331584	-23796.17015	11199.06588	191.617672	6	4	7	90
PG07	10740.28479	-11744.28373	-20810.29431	307.818324	7	5	3	94
PG08	24620.83573	6491.489576	-8185.130813	-54.903447	9	11	11	115
PG09	21710.95632	-8384.81645	-12898.34861	-355.483487	6	7	2	74
PG10	-10657.33674	23523.51389	5637.475063	-311.766442	4	7	5	80
PG11	-12423.71908	-23310.00593	-2864.133629	-99.907806	8	9	6	97
PG12	-18023.4843	2148.579788	19077.54355	-166.231522	6	6	6	90
PG13	-18816.49157	-13128.81248	-13670.33661	256.491326	6	6	6	99
PG14	12140.52723	-23070.34647	4884.590541	-79.94746	6	5	8	83
PG15	-25294.3753	-4156.862791	-7966.257594	-86.285856	8	7	8	121
PG16	7780.417586	13868.71487	-21461.00235	-465.246613	7	9	6	116
PG17	8544.489344	-13592.36953	21604.54553	570.828778	6	5	6	90
PG18	-10239.70988	12219.82862	-21227.64519	246.877964	3	6	6	82
PG19	-635.200189	-14899.70028	21732.01815	114.707231	7	7	7	70
PG20	-5532.080536	-19110.83613	-17717.8712	516.836616	8	5	6	111
PG21	19347.13099	13407.85153	13567.78124	157.464067	8	9	9	106
PG22	4359.976763	15680.34649	21418.33013	208.808865	6	6	5	105
PG23	-16740.05284	19745.52295	-5732.353024	4.339408	6	7	7	93
PG24	-19210.46257	-8635.108459	16125.83128	275.867728	6	6	5	78
PG25	-18808.69666	14498.59019	11317.17201	280.95388	5	4	4	66
PG26	-1148.310416	22434.95148	-14007.51852	180.474989	7	8	6	120
PG27	16725.35952	12393.75765	-16914.6654	104.590955	9	8	9	131
PG28	6456.133495	-22599.02454	13110.17402	407.343768	6	5	6	83
PG29	-23840.01098	4328.720081	-10991.1025	-476.193434	7	7	7	97
PG30	4201.86498	-19890.27764	-16894.85192	-511.378204	8	5	4	95
PG31	4944.337302	24359.01777	8543.887041	-163.241877	8	5	8	86
PG32	-3238.74625	15120.11297	21709.40999	-62.122388	5	4	4	88
*	2022	2	5	1	15	0		
PG01	17983.95695	7364.505812	17985.12102	439.521999	5	7	4	71
PG02	-14842.43578	-21941.34017	686.809931	-650.245741	6	6	7	104
PG03	17500.86988	-4140.860288	19406.67542	-107.241988	5	5	6	68
PG04	26596.54038	672.744326	121.466516	-191.400857	8	7	7	76
PG05	-10554.41529	-12129.72635	-21277.55631	-70.329307	7	5	3	73
PG06	-2865.779874	-22633.86565	13607.77758	191.628097	6	4	6	92
PG07	11989.68295	-9581.281397	-21267.93341	307.821151	7	5	3	94
PG08	23550.55926	6685.358015	-10748.57942	-54.9055	9	11	11	123
PG09	23039.98216	-8155.680162	-10507.66233	-355.48214	5	7	3	79
PG10	-11104.85046	23802.90726	2795.687622	-311.775628	4	6	5	100
PG11	-12267.95384	-23566.81469	-13.600641	-99.895606	8	8	5	96
PG12	-16778.63575	204.348303	20289.95303	-166.236683	6	5	6	86
PG13	-17157.45875	-13030.71498	-15791.44796	256.496876	5	6	6	104
PG14	12592.4953	-23250.84062	2076.015383	-79.951768	6	5	9	89
PG15	-24327.95818	-4536.243493	-10471.60522	-86.283306	8	7	7	113
PG16	6315.027604	15719.1989	-20598.75537	-465.251074	7	9	6	119
PG17	10855.61262	-13347.32968	20685.21457	570.83347	5	4	6	76
PG18	-11421.3891	10064.4596	-21758.42278	246.870956	4	6	6	91
PG19	1889.792464	-14580.1384	21858.0401	114.711537	7	7	6	63
PG20	-4634.562499	-20822.16088	-15983.16299	516.837109	7	5	7	110
PG21	19931.43562	14584.38561	11238.91943	157.464577	7	8	9	112
PG22	1976.430051	15466.90082	21913.29291	208.813606	6	6	4	110
PG23	-16539.24447	18926.07616	-8450.493628	4.336104	5	7	7	93
PG24	-20001.15023	-10236.87828	14180.62643	275.866507	5	6	5	76
PG25	-18255.13061	13105.51535	13651.95417	280.958784	5	3	3	85
PG26	-2086.874403	23608.41226	-11750.58549	180.477957	7	8	6	124
PG27	14742.09288	12458.56934	-18610.33855	104.607007	9	8	8	125
PG28	7353.463674	-23528.66196	10701.27352	407.336561	6	4	6	102
PG29	-24917.9647	4055.626975	-8390.552729	-476.197808	7	7	7	89
PG30	5328.881285	-18165.24344	-18463.50901	-511.380369	8	5	4	92
PG31	4165.624567	23462.11087	11098.62276	-163.243303	8	5	7	86
PG32	-5671.515155	15038.96794	21242.27971	-62.128266	5	5	4	99
*	2022	2	5	1	30	0		
PG01	18944.92716	9105.465354	16166.64248	439.513371	4	6	4	79
PG02	-14540.12551	-21955.16992	3545.262317	-650.246457	6	6	6	97
PG03	16522.3307	-2049.119106	20566.81546	-107.256894	4	4	6	58
PG04	26423.28083	921.448899	2966.628479	-191.398987	8	7	7	79
PG05	-9481.040203	-14230.32839	-20446.27576	-70.330622	7	4	2	78
PG06	-1855.056735	-21298.75737	15782.42412	191.638586	6	4	6	86
PG07	13357.75876	-7460.083905	-21345.56098	307.823734	6	5	4	79
PG08	22214.11073	6953.224303	-13130.6608	-54.907188	9	11	10	116
PG09	24099.74505	-7978.784918	-7937.023474	-355.480786	5	7	4	83
PG10	-11386.37896	23815.60556	-95.001783	-311.784837	4	6	5	93
PG11	-11969.4768	-23549.13059	2837.165445	-99.883424	7	8	4	89
PG12	-15575.57952	-1903.502474	21144.00142	-166.241639	5	5	5	97
PG13	-15273.2159	-13000.8405	-17645.40917	256.502647	6	6	6	81
PG14	12873.70382	-23177.1951	-768.440845	-79.956057	6	6	9	94
PG15	-23116.95556	-5002.778545	-12802.92591	-86.280829	7	7	7	113
PG16	5011.439859	17551.77121	-19386.41746	-465.255572	7	9	6	118
PG17	13056.96815	-13235.04652	19423.42323	570.837808	4	4	6	81
PG18	-12736.42233	7942.986887	-21914.59662	246.863912	5	6	7	83
PG19	4422.488289	-14398.26833	21598.58877	114.715911	7	6	6	68
PG20	-3892.561487	-22375.87749	-13976.3169	516.836826	7	5	7	80
PG21	20418.00847	15517.53308	8728.651332	157.464842	7	8	10	108
PG22	-451.169992	15379.54012	22045.05783	208.818771	6	6	3	107
PG23	-16249.21811	17828.05977	-11022.48648	4.332799	5	7	7	88
PG24	-20728.91599	-11606.72321	11991.59949	275.865301	5	5	5	88
PG25	-17655.61078	11460.31691	15744.59656	280.963756	4	3	2	59
PG26	-2856.76217	24583.9819	-9288.98652	180.480935	7	7	6	116
PG27	12591.53011	12639.99646	-19994.67531	104.623021	9	8	8	126
PG28	8050.050336	-24272.82564	8114.580592	407.329298	6	3	6	98
PG29	-25707.0827	3853.145926	-5646.299705	-476.202206	7	6	6	94
PG30	6617.825378	-16360.02275	-19710.24937	-511.382524	8	5	3	100
PG31	3199.661618	22363.80623	13456.34989	-163.245098	8	5	7	83
PG32	-8034.385156	15080.87259	20412.81636	-62.134123	5	5	4	93
*	2022	2	5	1	45	0		
PG01	19872.31606	10603.88122	14068.58721	439.504812	3	5	5	75
PG02	-14036.73289	-21738.53143	6342.833088	-650.247242	6	6	6	103
PG03	15611.89754	193.661528	21369.07582	-107.271797	4	3	6	72
PG04	25945.38492	1201.116046	5760.988209	-191.397153	8	6	7	81
PG05	-8559.655138	-16280.65315	-19266.87354	-70.331855	7	3	2	88
PG06	-636.466376	-19835.37175	17685.88924	191.649092	6	4	6	82
PG07	14818.54122	-5423.933273	-21043.30408	307.826332	6	5	4	83
PG08	20639.51443	7324.709402	-15290.89849	-54.908471	9	10	10	124
PG09	24871.74361	-7819.69926	-5230.364332	-355.47945	5	7	4	67
PG10	-11534.24308	23540.96547	-2984.011454	-311.793986	5	5	5	89
PG11	-11497.43448	-23277.95497	5639.143042	-99.871226	7	7	3	91
PG12	-14449.58652	-4138.962339	21624.6503	-166.246485	5	5	5	81
PG13	-13198.43373	-13066.94725	-19200.93201	256.508199	6	6	6	94
PG14	13015.19015	-22829.97971	-3599.616592	-79.960393	5	6	9	86
PG15	-21690.40178	-5581.168502	-14922.02499	-86.27787	7	7	7	100
PG16	3880.393797	19319.71562	-17843.0107	-465.260167	7	8	6	122
